Term,Easy,Formal
minimal residual disease,"A term used to describe a very small number of cancer cells that remain in the body during or after treatment. Minimal residual disease can be found only by highly sensitive laboratory methods that are able to find one cancer cell among one million normal cells. Checking to see if there is minimal residual disease may help plan treatment, find out how well treatment is working or if cancer has come back, or make a prognosis. Minimal residual disease testing is used mostly for blood cancers such as lymphoma and leukemia. Also called measurable residual disease and MRD.","A term used to describe a very small number of cancer cells that remain in the body during or after treatment. Minimal residual disease can be found only by highly sensitive laboratory methods that are able to find one cancer cell among one million normal cells. Checking to see if there is minimal residual disease may help plan treatment, find out how well treatment is working or if cancer has come back, or make a prognosis. Minimal residual disease testing is used mostly for blood cancers such as lymphoma and leukemia. Also called measurable residual disease and MRD."
mismatch repair deficiency,"Describes cells that have mutations (changes) in certain genes that are involved in correcting mistakes made when DNA is copied in a cell. Mismatch repair (MMR) deficient cells usually have many DNA mutations, which may lead to cancer. MMR deficiency is most common in colorectal cancer, other types of gastrointestinal cancer, and endometrial cancer, but it may also be found in cancers of the breast, prostate, bladder, and thyroid and in an inherited disorder called Lynch syndrome. Knowing if a tumor is MMR deficient may help plan treatment or predict how well the tumor will respond to treatment. Also called deficient DNA mismatch repair, deficient mismatch repair, dMMR, and MMR deficiency.","Describes cells that have mutations (changes) in certain genes that are involved in correcting mistakes made when DNA is copied in a cell. Mismatch repair (MMR) deficient cells usually have many DNA mutations, which may lead to cancer. MMR deficiency is most common in colorectal cancer, other types of gastrointestinal cancer, and endometrial cancer, but it may also be found in cancers of the breast, prostate, bladder, and thyroid and in an inherited disorder called Lynch syndrome. Knowing if a tumor is MMR deficient may help plan treatment or predict how well the tumor will respond to treatment. Also called deficient DNA mismatch repair, deficient mismatch repair, dMMR, and MMR deficiency."
monitor,"In medicine, to regularly watch and check a person or condition to see if there is any change. Also refers to a device that records and/or displays patient data, such as for an electrocardiogram (EKG).","In medicine, to regularly watch and check a person or condition to see if there is any change. Also refers to a device that records and/or displays patient data, such as for an electrocardiogram (EKG)."
MRI,"A procedure that uses radio waves, a powerful magnet, and a computer to make a series of detailed pictures of areas inside the body. A contrast agent, such as gadolinium, may be injected into a vein to help the tissues and organs show up more clearly in the picture. MRI may be used to help diagnose disease, plan treatment, or find out how well treatment is working. It is especially useful for imaging the brain and spinal cord, the heart and blood vessels, the bones, joints, and other soft tissues, the organs in the pelvis and abdomen, and the breast. Also called magnetic resonance imaging, NMRI, and nuclear magnetic resonance imaging.","A procedure that uses radio waves, a powerful magnet, and a computer to make a series of detailed pictures of areas inside the body. A contrast agent, such as gadolinium, may be injected into a vein to help the tissues and organs show up more clearly in the picture. MRI may be used to help diagnose disease, plan treatment, or find out how well treatment is working. It is especially useful for imaging the brain and spinal cord, the heart and blood vessels, the bones, joints, and other soft tissues, the organs in the pelvis and abdomen, and the breast. Also called magnetic resonance imaging, NMRI, and nuclear magnetic resonance imaging."
multiple endocrine neoplasia syndrome,"An inherited condition that may result in the development of cancers of the endocrine system. There are several types of multiple endocrine neoplasia syndrome, and patients with each type may develop different types of cancer. The altered genes that cause each type can be detected with a blood test. Also called MEN syndrome.","An inherited condition that may result in the development of cancers of the endocrine system. There are several types of multiple endocrine neoplasia syndrome, and patients with each type may develop different types of cancer. The altered genes that cause each type can be detected with a blood test. Also called MEN syndrome."
myelosuppression,"A condition in which bone marrow activity is decreased, resulting in fewer red blood cells, white blood cells, and platelets. Myelosuppression is a side effect of some cancer treatments. When myelosuppression is severe, it is called myeloablation.","A condition in which bone marrow activity is decreased, resulting in fewer red blood cells, white blood cells, and platelets. Myelosuppression is a side effect of some cancer treatments. When myelosuppression is severe, it is called myeloablation."
neuroendocrine tumor,"A tumor that forms from cells that release hormones into the blood in response to a signal from the nervous system. Neuroendocrine tumors may make higher-than-normal amounts of hormones, which can cause many different symptoms. These tumors may be benign (not cancer) or malignant (cancer). Some examples of neuroendocrine tumors are carcinoid tumors, islet cell tumors, medullary thyroid cancer, pheochromocytomas, neuroendocrine carcinoma of the skin (Merkel cell cancer), small cell lung cancer, and large cell neuroendocrine carcinoma (a rare type of lung cancer).","A tumor that forms from cells that release hormones into the blood in response to a signal from the nervous system. Neuroendocrine tumors may make higher-than-normal amounts of hormones, which can cause many different symptoms. These tumors may be benign (not cancer) or malignant (cancer). Some examples of neuroendocrine tumors are carcinoid tumors, islet cell tumors, medullary thyroid cancer, pheochromocytomas, neuroendocrine carcinoma of the skin (Merkel cell cancer), small cell lung cancer, and large cell neuroendocrine carcinoma (a rare type of lung cancer)."
neuroendocrine,Having to do with the interactions between the nervous system and the endocrine system. Neuroendocrine describes certain cells that release hormones into the blood in response to stimulation of the nervous system.,Having to do with the interactions between the nervous system and the endocrine system. Neuroendocrine describes certain cells that release hormones into the blood in response to stimulation of the nervous system.
neutrophil,"A type of white blood cell that is an important part of the immune system and helps the body fight infection. When microorganisms, such as bacteria or viruses, enter the body, neutrophils are one of the first immune cells to respond. They travel to the site of infection, where they destroy the microorganisms by ingesting them and releasing enzymes that kill them. Neutrophils also boost the response of other immune cells. A neutrophil is a type of granulocyte and a type of phagocyte.","A type of white blood cell that is an important part of the immune system and helps the body fight infection. When microorganisms, such as bacteria or viruses, enter the body, neutrophils are one of the first immune cells to respond. They travel to the site of infection, where they destroy the microorganisms by ingesting them and releasing enzymes that kill them. Neutrophils also boost the response of other immune cells. A neutrophil is a type of granulocyte and a type of phagocyte."
non-small cell lung cancer,"A group of lung cancers named for the kinds of cells found in the cancer and how the cells look under a microscope. The three main types of non-small cell lung cancer are adenocarcinoma (most common), squamous cell carcinoma, and large cell carcinoma. Non-small cell lung cancer is the most common of the two main types of lung cancer (non-small cell lung cancer and small cell lung cancer).","A group of lung cancers named for the kinds of cells found in the cancer and how the cells look under a microscope. The three main types of non-small cell lung cancer are adenocarcinoma (most common), squamous cell carcinoma, and large cell carcinoma. Non-small cell lung cancer is the most common of the two main types of lung cancer (non-small cell lung cancer and small cell lung cancer)."
oocyte cryopreservation,"The process of freezing one or more unfertilized eggs (eggs that have not been combined with sperm) to save them for future use. The eggs are thawed and fertilized in the laboratory to make embryos that can be placed in a woman’s uterus. Oocyte cryopreservation is being studied as a type of fertility preservation. It may be useful for women with cancer who want to have children after having radiation therapy, chemotherapy, or certain types of surgery, which can cause infertility. Also called egg banking, egg cryopreservation, and egg freezing.","The process of freezing one or more unfertilized eggs (eggs that have not been combined with sperm) to save them for future use. The eggs are thawed and fertilized in the laboratory to make embryos that can be placed in a woman’s uterus. Oocyte cryopreservation is being studied as a type of fertility preservation. It may be useful for women with cancer who want to have children after having radiation therapy, chemotherapy, or certain types of surgery, which can cause infertility. Also called egg banking, egg cryopreservation, and egg freezing."
orchiectomy,Surgery to remove one or both testicles. Also called orchidectomy.,Surgery to remove one or both testicles. Also called orchidectomy.
palliative therapy,"Treatment given to help relieve the symptoms and reduce the suffering caused by cancer or other life-threatening diseases. Palliative therapy may help a person feel more comfortable, but it does not treat or cure the disease. For example, surgery, radiation therapy, or chemotherapy may be given to remove, shrink, or slow the growth of a tumor that is causing pain. Palliative therapy may be given with other treatments from the time of diagnosis until the end of life.","Treatment given to help relieve the symptoms and reduce the suffering caused by cancer or other life-threatening diseases. Palliative therapy may help a person feel more comfortable, but it does not treat or cure the disease. For example, surgery, radiation therapy, or chemotherapy may be given to remove, shrink, or slow the growth of a tumor that is causing pain. Palliative therapy may be given with other treatments from the time of diagnosis until the end of life."
partial response,"A decrease in the size of a tumor, or in the extent of cancer in the body, in response to treatment. Also called partial remission.","A decrease in the size of a tumor, or in the extent of cancer in the body, in response to treatment. Also called partial remission."
pathological staging,A method used to find out the stage of cancer (amount or spread of cancer in the body) by removing tissue samples during surgery or a biopsy. The pathological stage is based on how different from normal the cells in the samples look under a microscope.,A method used to find out the stage of cancer (amount or spread of cancer in the body) by removing tissue samples during surgery or a biopsy. The pathological stage is based on how different from normal the cells in the samples look under a microscope.
peptide receptor radionuclide therapy,"A type of radiation therapy used to treat certain types of neuroendocrine tumors. A radioactive chemical is linked to a peptide (small protein) that targets cancer cells. When this radioactive peptide is injected into the body, it binds to a specific receptor found on some cancer cells. The radioactive peptide builds up in these cells and helps kill the cancer cells without harming normal cells. Peptide receptor radionuclide therapy is a type of targeted therapy. Also called PRRT.","A type of radiation therapy used to treat certain types of neuroendocrine tumors. A radioactive chemical is linked to a peptide (small protein) that targets cancer cells. When this radioactive peptide is injected into the body, it binds to a specific receptor found on some cancer cells. The radioactive peptide builds up in these cells and helps kill the cancer cells without harming normal cells. Peptide receptor radionuclide therapy is a type of targeted therapy. Also called PRRT."
peripheral blood,Blood circulating throughout the body.,Blood circulating throughout the body.
physical examination,An exam of the body to check for general signs of disease.,An exam of the body to check for general signs of disease.
platelet,"A tiny, disc-shaped piece of cell that is found in the blood and spleen. Platelets are pieces of very large cells in the bone marrow called megakaryocytes. They help form blood clots to slow or stop bleeding and to help wounds heal. Having too many or too few platelets or having platelets that don’t work as they should can cause problems. Checking the number of platelets in the blood may help diagnose certain diseases or conditions. Also called thrombocyte.","A tiny, disc-shaped piece of cell that is found in the blood and spleen. Platelets are pieces of very large cells in the bone marrow called megakaryocytes. They help form blood clots to slow or stop bleeding and to help wounds heal. Having too many or too few platelets or having platelets that don’t work as they should can cause problems. Checking the number of platelets in the blood may help diagnose certain diseases or conditions. Also called thrombocyte."
polymerase chain reaction,"A laboratory method used to make many copies of a specific piece of DNA from a sample that contains very tiny amounts of that DNA. Polymerase chain reaction allows these pieces of DNA to be amplified so they can be detected. Polymerase chain reaction may be used to look for certain changes in a gene or chromosome, which may help find and diagnose a genetic condition or a disease, such as cancer. It may also be used to look at pieces of the DNA of certain bacteria, viruses, or other microorganisms to help diagnose an infection. Also called PCR.","A laboratory method used to make many copies of a specific piece of DNA from a sample that contains very tiny amounts of that DNA. Polymerase chain reaction allows these pieces of DNA to be amplified so they can be detected. Polymerase chain reaction may be used to look for certain changes in a gene or chromosome, which may help find and diagnose a genetic condition or a disease, such as cancer. It may also be used to look at pieces of the DNA of certain bacteria, viruses, or other microorganisms to help diagnose an infection. Also called PCR."
polyp,A growth that protrudes from a mucous membrane.,A growth that protrudes from a mucous membrane.
positron emission tomography scan,"A procedure in which a small amount of radioactive glucose (sugar) is injected into a vein, and a scanner is used to make detailed, computerized pictures of areas inside the body where the glucose is taken up. Because cancer cells often take up more glucose than normal cells, the pictures can be used to find cancer cells in the body. Also called PET scan.","A procedure in which a small amount of radioactive glucose (sugar) is injected into a vein, and a scanner is used to make detailed, computerized pictures of areas inside the body where the glucose is taken up. Because cancer cells often take up more glucose than normal cells, the pictures can be used to find cancer cells in the body. Also called PET scan."
positron emission tomography-computed tomography scan,"A procedure that combines the pictures from a positron emission tomography (PET) scan and a computed tomography (CT) scan. The PET and CT scans are done at the same time with the same machine. The combined scans give more detailed pictures of areas inside the body than either scan gives by itself. A positron emission tomography-computed tomography scan may be used to help diagnose disease, such as cancer, plan treatment, or find out how well treatment is working. Also called PET-CT scan.","A procedure that combines the pictures from a positron emission tomography (PET) scan and a computed tomography (CT) scan. The PET and CT scans are done at the same time with the same machine. The combined scans give more detailed pictures of areas inside the body than either scan gives by itself. A positron emission tomography-computed tomography scan may be used to help diagnose disease, such as cancer, plan treatment, or find out how well treatment is working. Also called PET-CT scan."
prostate-specific antigen,"A protein made by the prostate gland and found in the blood. Prostate-specific antigen blood levels may be higher than normal in men who have prostate cancer, benign prostatic hyperplasia (BPH), or infection or inflammation of the prostate gland. Also called PSA.","A protein made by the prostate gland and found in the blood. Prostate-specific antigen blood levels may be higher than normal in men who have prostate cancer, benign prostatic hyperplasia (BPH), or infection or inflammation of the prostate gland. Also called PSA."
prostate-specific membrane antigen,"A protein that is usually found on the surface of normal prostate cells but is found in higher amounts on prostate cancer cells. Prostate-specific membrane antigen may be used as a target in imaging to help find prostate cancer cells, especially those that may have come back or spread to other parts of the body. Research is being done to learn more about prostate-specific membrane antigen and how it may also be used as a target for certain anticancer drugs. Also called PSMA.","A protein that is usually found on the surface of normal prostate cells but is found in higher amounts on prostate cancer cells. Prostate-specific membrane antigen may be used as a target in imaging to help find prostate cancer cells, especially those that may have come back or spread to other parts of the body. Research is being done to learn more about prostate-specific membrane antigen and how it may also be used as a target for certain anticancer drugs. Also called PSMA."
proton beam radiation therapy,"A type of radiation therapy that uses streams of protons (tiny particles with a positive charge) to kill tumor cells. This type of treatment can reduce the amount of radiation damage to healthy tissue near a tumor. It is used to treat cancers of the head and neck and organs such as the brain, eye, lung, spine, and prostate. Proton beam radiation is different from x-ray radiation.","A type of radiation therapy that uses streams of protons (tiny particles with a positive charge) to kill tumor cells. This type of treatment can reduce the amount of radiation damage to healthy tissue near a tumor. It is used to treat cancers of the head and neck and organs such as the brain, eye, lung, spine, and prostate. Proton beam radiation is different from x-ray radiation."
pulmonary function test,A test used to measure how well the lungs work. It measures how much air the lungs can hold and how quickly air is moved into and out of the lungs. It also measures how much oxygen is used and how much carbon dioxide is given off during breathing. A pulmonary function test can be used to diagnose a lung disease and to see how well treatment for the disease is working. Also called lung function test and PFT.,A test used to measure how well the lungs work. It measures how much air the lungs can hold and how quickly air is moved into and out of the lungs. It also measures how much oxygen is used and how much carbon dioxide is given off during breathing. A pulmonary function test can be used to diagnose a lung disease and to see how well treatment for the disease is working. Also called lung function test and PFT.
radical prostatectomy,"Surgery to remove the entire prostate and some of the tissue around it, including the seminal vesicles (a gland that helps make semen). Nearby lymph nodes may also be removed. A radical prostatectomy may be done through an incision (cut) made in the wall of the lower abdomen or in the perineum (the area between the scrotum and anus). It may also be done using a laparoscope (a thin, tube-like instrument with a light and lens for viewing) or a special robotic system. An attempt is made to protect the nerves that control penile erection and the bladder from damage.","Surgery to remove the entire prostate and some of the tissue around it, including the seminal vesicles (a gland that helps make semen). Nearby lymph nodes may also be removed. A radical prostatectomy may be done through an incision (cut) made in the wall of the lower abdomen or in the perineum (the area between the scrotum and anus). It may also be done using a laparoscope (a thin, tube-like instrument with a light and lens for viewing) or a special robotic system. An attempt is made to protect the nerves that control penile erection and the bladder from damage."
red blood cell,"A type of blood cell that is made in the bone marrow and found in the blood. Red blood cells contain a protein called hemoglobin, which carries oxygen from the lungs to all parts of the body. Checking the number of red blood cells in the blood is usually part of a complete blood cell (CBC) test. It may be used to look for conditions such as anemia, dehydration, malnutrition, and leukemia. Also called erythrocyte and RBC.","A type of blood cell that is made in the bone marrow and found in the blood. Red blood cells contain a protein called hemoglobin, which carries oxygen from the lungs to all parts of the body. Checking the number of red blood cells in the blood is usually part of a complete blood cell (CBC) test. It may be used to look for conditions such as anemia, dehydration, malnutrition, and leukemia. Also called erythrocyte and RBC."
refractory,"In medicine, describes a disease or condition that does not respond to treatment.","In medicine, describes a disease or condition that does not respond to treatment."
regimen,"A treatment plan that specifies the dosage, the schedule, and the duration of treatment.","A treatment plan that specifies the dosage, the schedule, and the duration of treatment."
clinical resistance,The failure of a cancer to shrink after treatment.,The failure of a cancer to shrink after treatment.
risk factor,"Something that increases the chance of developing a disease. Some examples of risk factors for cancer are age, a family history of certain cancers, use of tobacco products, being exposed to radiation or certain chemicals, infection with certain viruses or bacteria, and certain genetic changes.","Something that increases the chance of developing a disease. Some examples of risk factors for cancer are age, a family history of certain cancers, use of tobacco products, being exposed to radiation or certain chemicals, infection with certain viruses or bacteria, and certain genetic changes."
seminal vesicle,A gland that helps produce semen.,A gland that helps produce semen.
sentinel lymph node biopsy,"Removal and examination of the sentinel node(s) (the first lymph node(s) to which cancer cells are likely to spread from a primary tumor). To identify the sentinel lymph node(s), the surgeon injects a radioactive substance, blue dye, or both near the tumor. The surgeon then uses a probe to find the sentinel lymph node(s) containing the radioactive substance or looks for the lymph node(s) stained with dye. The surgeon then removes the sentinel node(s) to check for the presence of cancer cells.","Removal and examination of the sentinel node(s) (the first lymph node(s) to which cancer cells are likely to spread from a primary tumor). To identify the sentinel lymph node(s), the surgeon injects a radioactive substance, blue dye, or both near the tumor. The surgeon then uses a probe to find the sentinel lymph node(s) containing the radioactive substance or looks for the lymph node(s) stained with dye. The surgeon then removes the sentinel node(s) to check for the presence of cancer cells."
somatostatin receptor scintigraphy,"A type of radionuclide scan used to find carcinoid and other types of tumors. Radioactive octreotide, a drug similar to somatostatin, is injected into a vein and travels through the bloodstream. The radioactive octreotide attaches to tumor cells that have receptors for somatostatin. A radiation-measuring device detects the radioactive octreotide, and makes pictures showing where the tumor cells are in the body. Also called octreotide scan and SRS.","A type of radionuclide scan used to find carcinoid and other types of tumors. Radioactive octreotide, a drug similar to somatostatin, is injected into a vein and travels through the bloodstream. The radioactive octreotide attaches to tumor cells that have receptors for somatostatin. A radiation-measuring device detects the radioactive octreotide, and makes pictures showing where the tumor cells are in the body. Also called octreotide scan and SRS."
sporadic cancer,Cancer that occurs in people who do not have a family history of that cancer or an inherited change in their DNA that would increase their risk for that cancer.,Cancer that occurs in people who do not have a family history of that cancer or an inherited change in their DNA that would increase their risk for that cancer.
squamocolumnar junction,"The area around the opening of the cervix where the endocervix (inner part) and ectocervix (outer part) come together. This area contains both glandular cells (cells that make mucus) from the endocervix and squamous cells (thin, skin-like cells) from the ectocervix. Most abnormal cell changes and most cervical cancers begin in the squamous cells of the squamocolumnar junction. Also called transformation zone.","The area around the opening of the cervix where the endocervix (inner part) and ectocervix (outer part) come together. This area contains both glandular cells (cells that make mucus) from the endocervix and squamous cells (thin, skin-like cells) from the ectocervix. Most abnormal cell changes and most cervical cancers begin in the squamous cells of the squamocolumnar junction. Also called transformation zone."
SABR,"A type of external radiation therapy that uses special equipment to position a patient and precisely deliver radiation to tumors in the body (except the brain). The total dose of radiation is divided into smaller doses given over several days. This type of radiation therapy helps spare normal tissue. Also called SBRT, stereotactic ablative body radiation therapy, and stereotactic body radiation therapy.","A type of external radiation therapy that uses special equipment to position a patient and precisely deliver radiation to tumors in the body (except the brain). The total dose of radiation is divided into smaller doses given over several days. This type of radiation therapy helps spare normal tissue. Also called SBRT, stereotactic ablative body radiation therapy, and stereotactic body radiation therapy."
stereotactic body radiation therapy,"A type of external radiation therapy that uses special equipment to position a patient and precisely deliver radiation to tumors in the body (except the brain). The total dose of radiation is divided into smaller doses given over several days. This type of radiation therapy helps spare normal tissue. Also called SABR, SBRT, and stereotactic ablative body radiation therapy.","A type of external radiation therapy that uses special equipment to position a patient and precisely deliver radiation to tumors in the body (except the brain). The total dose of radiation is divided into smaller doses given over several days. This type of radiation therapy helps spare normal tissue. Also called SABR, SBRT, and stereotactic ablative body radiation therapy."
stereotactic radiosurgery,"A type of external radiation therapy that uses special equipment to position the patient and precisely give a single large dose of radiation to a tumor. It is used to treat brain tumors and other brain disorders that cannot be treated by regular surgery. It is also being studied in the treatment of other types of cancer. Also called radiation surgery, radiosurgery, and stereotaxic radiosurgery.","A type of external radiation therapy that uses special equipment to position the patient and precisely give a single large dose of radiation to a tumor. It is used to treat brain tumors and other brain disorders that cannot be treated by regular surgery. It is also being studied in the treatment of other types of cancer. Also called radiation surgery, radiosurgery, and stereotaxic radiosurgery."
steroid,"Any of a group of lipids (fats) that have a certain chemical structure. Steroids occur naturally in plants and animals or they may be made in the laboratory. Examples of steroids include sex hormones, cholesterol, bile acids, and some drugs.","Any of a group of lipids (fats) that have a certain chemical structure. Steroids occur naturally in plants and animals or they may be made in the laboratory. Examples of steroids include sex hormones, cholesterol, bile acids, and some drugs."
cancer subtype,"Describes the smaller groups that a type of cancer can be divided into, based on certain characteristics of the cancer cells. These characteristics include how the cancer cells look under a microscope and whether there are certain substances in or on the cells or certain changes to the DNA of the cells. It is important to know the subtype of a cancer in order to plan treatment and determine prognosis.","Describes the smaller groups that a type of cancer can be divided into, based on certain characteristics of the cancer cells. These characteristics include how the cancer cells look under a microscope and whether there are certain substances in or on the cells or certain changes to the DNA of the cells. It is important to know the subtype of a cancer in order to plan treatment and determine prognosis."
sun protection factor,"A scale for rating the level of sunburn protection in sunscreen products. The higher the sun protection factor, the more sunburn protection it gives. Sunscreens with a value of 2 through 11 give minimal protection against sunburns. Sunscreens with a value of 12 through 29 give moderate protection. Sun protection factors of 30 or higher give high protection against sunburn. Also called SPF.","A scale for rating the level of sunburn protection in sunscreen products. The higher the sun protection factor, the more sunburn protection it gives. Sunscreens with a value of 2 through 11 give minimal protection against sunburns. Sunscreens with a value of 12 through 29 give moderate protection. Sun protection factors of 30 or higher give high protection against sunburn. Also called SPF."
pulmonary sulcus tumor,A type of lung cancer that begins in the upper part of a lung and spreads to nearby tissues such as the ribs and vertebrae. Most pulmonary sulcus tumors are non-small cell cancers. Also called Pancoast tumor.,A type of lung cancer that begins in the upper part of a lung and spreads to nearby tissues such as the ribs and vertebrae. Most pulmonary sulcus tumors are non-small cell cancers. Also called Pancoast tumor.
margin,"The edge or border of the tissue removed in cancer surgery. The margin is described as negative or clean when the pathologist finds no cancer cells at the edge of the tissue, suggesting that all of the cancer has been removed. The margin is described as positive or involved when the pathologist finds cancer cells at the edge of the tissue, suggesting that all of the cancer has not been removed.","The edge or border of the tissue removed in cancer surgery. The margin is described as negative or clean when the pathologist finds no cancer cells at the edge of the tissue, suggesting that all of the cancer has been removed. The margin is described as positive or involved when the pathologist finds cancer cells at the edge of the tissue, suggesting that all of the cancer has not been removed."
survivorship care plan,"A detailed plan given to a patient after treatment ends, that contains a summary of the patient’s treatment, along with recommendations for follow-up care. In cancer, the plan is based on the type of cancer and the treatment the patient received. A survivorship care plan may include schedules for physical exams and medical tests to see if the cancer has come back or spread to other parts of the body. Getting follow-up care also helps check for health problems that may occur months or years after treatment ends, including other types of cancer. A survivorship care plan may also include information to help meet the emotional, social, legal, and financial needs of the patient. It may include referrals to specialists and recommendations for a healthy lifestyle, such as changes in diet and exercise and quitting smoking. Also called follow-up care plan.","A detailed plan given to a patient after treatment ends, that contains a summary of the patient’s treatment, along with recommendations for follow-up care. In cancer, the plan is based on the type of cancer and the treatment the patient received. A survivorship care plan may include schedules for physical exams and medical tests to see if the cancer has come back or spread to other parts of the body. Getting follow-up care also helps check for health problems that may occur months or years after treatment ends, including other types of cancer. A survivorship care plan may also include information to help meet the emotional, social, legal, and financial needs of the patient. It may include referrals to specialists and recommendations for a healthy lifestyle, such as changes in diet and exercise and quitting smoking. Also called follow-up care plan."
talimogene laherparepvec,A drug used to treat melanoma that has recurred (come back) after surgery. It is used in patients whose cancer is in the skin and lymph nodes and cannot be removed by surgery. It is also being studied in the treatment of other types of cancer. Talimogene laherparepvec is made with a form of the herpesvirus that has been changed in the laboratory to infect and break down cancer cells without harming normal cells. It may also help the immune system kill cancer cells. Talimogene laherparepvec is injected directly into tumors in the skin and lymph nodes. It is a type of oncolytic virus therapy. Also called Imlygic and T-VEC.,A drug used to treat melanoma that has recurred (come back) after surgery. It is used in patients whose cancer is in the skin and lymph nodes and cannot be removed by surgery. It is also being studied in the treatment of other types of cancer. Talimogene laherparepvec is made with a form of the herpesvirus that has been changed in the laboratory to infect and break down cancer cells without harming normal cells. It may also help the immune system kill cancer cells. Talimogene laherparepvec is injected directly into tumors in the skin and lymph nodes. It is a type of oncolytic virus therapy. Also called Imlygic and T-VEC.
3-dimensional conformal radiation therapy,"A procedure that uses a computer to create a 3-dimensional picture of the tumor. This allows doctors to give the highest possible dose of radiation to the tumor, while sparing the normal tissue as much as possible. Also called 3-dimensional radiation therapy and 3D-CRT.","A procedure that uses a computer to create a 3-dimensional picture of the tumor. This allows doctors to give the highest possible dose of radiation to the tumor, while sparing the normal tissue as much as possible. Also called 3-dimensional radiation therapy and 3D-CRT."
tocilizumab,"A drug used to treat adults and children aged 2 years and older with severe or life-threatening cytokine release syndrome caused by a type of immunotherapy called chimeric antigen receptor (CAR) T-cell therapy. Tocilizumab is also used to treat certain types of arthritis and a condition that causes inflammation of the lining of the arteries. It is also being studied in the treatment of other conditions. Tocilizumab binds to receptors for a protein called interleukin-6 (IL-6), which is made by white blood cells and other cells in the body. This may help lower the body’s immune response and reduce inflammation. Tocilizumab is a type of monoclonal antibody. Also called Actemra.","A drug used to treat adults and children aged 2 years and older with severe or life-threatening cytokine release syndrome caused by a type of immunotherapy called chimeric antigen receptor (CAR) T-cell therapy. Tocilizumab is also used to treat certain types of arthritis and a condition that causes inflammation of the lining of the arteries. It is also being studied in the treatment of other conditions. Tocilizumab binds to receptors for a protein called interleukin-6 (IL-6), which is made by white blood cells and other cells in the body. This may help lower the body’s immune response and reduce inflammation. Tocilizumab is a type of monoclonal antibody. Also called Actemra."
tumor lysis syndrome,"A condition that can occur after treatment of a fast-growing cancer, especially certain leukemias and lymphomas (cancers of the blood). As tumor cells die, they break apart and release their contents into the blood. This causes a change in certain chemicals in the blood, which may cause damage to organs, including the kidneys, heart, and liver.","A condition that can occur after treatment of a fast-growing cancer, especially certain leukemias and lymphomas (cancers of the blood). As tumor cells die, they break apart and release their contents into the blood. This causes a change in certain chemicals in the blood, which may cause damage to organs, including the kidneys, heart, and liver."
TIL therapy,A type of treatment in which tumor-infiltrating lymphocytes (a type of immune cell that can recognize and kill cancer cells) are removed from a patient’s tumor and grown in large numbers in a laboratory. These lymphocytes are then given back to the patient by infusion to help the immune system kill the cancer cells. Also called tumor-infiltrating lymphocyte therapy.,A type of treatment in which tumor-infiltrating lymphocytes (a type of immune cell that can recognize and kill cancer cells) are removed from a patient’s tumor and grown in large numbers in a laboratory. These lymphocytes are then given back to the patient by infusion to help the immune system kill the cancer cells. Also called tumor-infiltrating lymphocyte therapy.
unresectable,Unable to be removed with surgery.,Unable to be removed with surgery.
ureter,The tube that carries urine from the kidney to the bladder.,The tube that carries urine from the kidney to the bladder.
intravenous urogram,"An x-ray image of the kidneys, ureters, and bladder, and prostate in men, that is taken after a contrast dye is injected into a vein. As the dye travels through the bloodstream, it collects in these organs, turning them bright white. This allows the health care provider to see blockages or other urinary tract problems on the x-ray pictures. An intravenous urogram may be used to help diagnose certain urinary tract conditions, such as kidney or bladder stones, kidney cysts, urinary tract tumors, and an enlarged prostate. Also called intravenous pyelogram, IVP, and IVU.","An x-ray image of the kidneys, ureters, and bladder, and prostate in men, that is taken after a contrast dye is injected into a vein. As the dye travels through the bloodstream, it collects in these organs, turning them bright white. This allows the health care provider to see blockages or other urinary tract problems on the x-ray pictures. An intravenous urogram may be used to help diagnose certain urinary tract conditions, such as kidney or bladder stones, kidney cysts, urinary tract tumors, and an enlarged prostate. Also called intravenous pyelogram, IVP, and IVU."
stage 0 transitional cell carcinoma in situ of the renal pelvis and ureter,"Abnormal cells are found in tissue lining the inside of the renal pelvis or ureter. These abnormal cells may become cancer and spread into nearby normal tissue. Stage 0 is divided into stages 0a and 0is, depending on the type of tumor. Stage 0a is also called noninvasive papillary carcinoma, which may look like long, thin growths that grow out from the tissue lining the inside of the renal pelvis or ureter. Stage 0is is also called carcinoma in situ, which is a flat tumor on the tissue lining the inside of the renal pelvis or ureter.","Abnormal cells are found in tissue lining the inside of the renal pelvis or ureter. These abnormal cells may become cancer and spread into nearby normal tissue. Stage 0 is divided into stages 0a and 0is, depending on the type of tumor. Stage 0a is also called noninvasive papillary carcinoma, which may look like long, thin growths that grow out from the tissue lining the inside of the renal pelvis or ureter. Stage 0is is also called carcinoma in situ, which is a flat tumor on the tissue lining the inside of the renal pelvis or ureter."
